iter	Logloss
0	0.6868234436
1	0.6818079268
2	0.6766225532
3	0.6729450682
4	0.6694280077
5	0.6661549512
6	0.6626109565
7	0.660388091
8	0.6579886189
9	0.655283768
10	0.6527830748
11	0.6507601643
12	0.648161592
13	0.6458368306
14	0.6444015385
15	0.6427340104
16	0.6410404645
17	0.6396336008
18	0.638335635
19	0.6370901498
20	0.6360927164
21	0.6350130519
22	0.6343576367
23	0.6336732453
24	0.6327885079
25	0.6320696279
26	0.6315026774
27	0.630900253
28	0.6302667612
29	0.6295329096
30	0.6289486946
31	0.6284258922
32	0.6278563892
33	0.6273455
34	0.6268512414
35	0.6262763032
36	0.6258685715
37	0.6254751918
38	0.6249802605
39	0.6245617994
40	0.6241420572
41	0.6238431023
42	0.623556522
43	0.6232847834
44	0.6231273907
45	0.6228930553
46	0.622486238
47	0.6224174192
48	0.6221662409
49	0.6217756797
50	0.6216189225
51	0.6213922934
52	0.621145657
53	0.6209103776
54	0.620805327
55	0.6204416124
56	0.620247284
57	0.620182286
58	0.6199836774
59	0.6197025942
60	0.6195221458
61	0.6192637115
62	0.6191345858
63	0.6190355464
64	0.6189015168
65	0.6187314231
66	0.6186133428
67	0.6184020855
68	0.6183162846
69	0.6180699776
70	0.6179849886
71	0.617842719
72	0.6176982788
73	0.6176004792
74	0.6174228888
75	0.6172367221
76	0.6171631139
77	0.6170982717
78	0.6170282057
79	0.6168661241
80	0.6167847301
81	0.6167124809
82	0.6166680529
83	0.616568448
84	0.6164306619
85	0.6163383978
86	0.6162502798
87	0.61619204
88	0.6161203972
89	0.6160326609
90	0.6159932476
91	0.6158861272
92	0.6157969283
93	0.6157380448
94	0.6155995765
95	0.615531867
96	0.6155057693
97	0.6154336742
98	0.6153851666
99	0.6153456907
100	0.6153003673
101	0.6152536713
102	0.6151862909
103	0.6150956813
104	0.615007807
105	0.614922841
106	0.6148978944
107	0.61484819
108	0.6147966687
109	0.6147401044
110	0.6147134154
111	0.6146431726
112	0.6145900202
113	0.6145287679
114	0.6145125192
115	0.6144807866
116	0.6144263735
117	0.6144095893
118	0.6143195178
119	0.6142888673
120	0.614206141
121	0.614146291
122	0.6141001354
123	0.614059636
124	0.613973269
125	0.6139573678
126	0.6138548148
127	0.6138059043
128	0.6137179561
129	0.6136761368
130	0.6136142249
131	0.6135870767
132	0.6134898902
133	0.6134703644
134	0.6134469093
135	0.6133545649
136	0.6133292717
137	0.6133045623
138	0.6132717161
139	0.6132394361
140	0.6131992688
141	0.6131762312
142	0.613155271
143	0.6131375672
144	0.6130979061
145	0.6130410501
146	0.612978288
147	0.61295878
148	0.6129285708
149	0.6128855631
150	0.6128765814
151	0.6128448071
152	0.6128050092
153	0.6127814832
154	0.6127493494
155	0.6127225136
156	0.6126727542
157	0.6126395198
158	0.6125987411
159	0.612541287
160	0.6124856856
161	0.612446458
162	0.6124237314
163	0.6123857238
164	0.6123431212
165	0.6123164251
166	0.6122690058
167	0.6122354227
168	0.6122230963
169	0.6121771142
170	0.6121601541
171	0.6121309005
172	0.6121130666
173	0.6120721843
174	0.6120566344
175	0.6119850938
176	0.6119601618
177	0.6119446807
178	0.6119081725
179	0.611890595
180	0.6118623698
181	0.6118367941
182	0.6118191723
183	0.6117801571
184	0.6117697663
185	0.6117422443
186	0.6117109776
187	0.6116815339
188	0.6116639916
189	0.6116515597
190	0.6116274736
191	0.6115880115
192	0.611561226
193	0.6115537014
194	0.611542852
195	0.6115285772
196	0.6115068657
197	0.6114794708
198	0.6114527351
199	0.6114493378
200	0.611425368
201	0.6113569558
202	0.6113406491
203	0.6113330632
204	0.6113279614
205	0.6112863712
206	0.6112664462
207	0.6112225584
208	0.6111921414
209	0.611163026
210	0.6111114644
211	0.6110703234
212	0.6110548087
213	0.611027745
214	0.6110086253
215	0.6109667624
216	0.6109121746
217	0.6108897315
218	0.6108566317
219	0.6108256701
220	0.6108134523
221	0.6107986887
222	0.6107764822
223	0.6107675879
224	0.6107378287
225	0.610665052
226	0.6106209812
227	0.6105963084
228	0.6105420894
229	0.61053436
230	0.6105123593
231	0.6104760578
232	0.6104493121
233	0.6104083482
234	0.6103733803
235	0.6103589019
236	0.6103452769
237	0.6103242494
238	0.6102926015
239	0.6102417949
240	0.6102137562
241	0.6102063601
242	0.6101820321
243	0.610169447
244	0.610132295
245	0.6100402498
246	0.6100097223
247	0.6100070826
248	0.6099682669
249	0.609904629
250	0.6098649094
251	0.6098231548
252	0.6098038629
253	0.6097366222
254	0.609714951
255	0.6096199097
256	0.6095812055
257	0.6095227766
258	0.6095161597
259	0.6095147431
260	0.6094763984
261	0.6094060585
262	0.6093471795
263	0.6093169624
264	0.6092495158
265	0.6092058296
266	0.609156685
267	0.6091040865
268	0.6090575965
269	0.6089799686
270	0.608953953
271	0.6089274628
272	0.6088875854
273	0.6088013752
274	0.6087577816
275	0.6086878821
276	0.6085967299
277	0.6084798391
278	0.6084085947
279	0.6083548294
280	0.608296066
281	0.6082166091
282	0.6081838999
283	0.6081025616
284	0.6080175948
285	0.6079722988
286	0.6079266188
287	0.6078709373
288	0.6078169913
289	0.6077267765
290	0.6077116949
291	0.6076574079
292	0.6075814627
293	0.60754225
294	0.6074559862
295	0.6074154395
296	0.6073716973
297	0.6072959681
298	0.6072451186
299	0.607166427
300	0.6071260618
301	0.6070745709
302	0.6070200331
303	0.6069276799
304	0.6068835291
305	0.6068292923
306	0.6067700029
307	0.606724448
308	0.6066832244
309	0.6066193382
310	0.6065111857
311	0.6064743524
312	0.606430539
313	0.6063686565
314	0.6063250624
315	0.6062916825
316	0.6062185875
317	0.6061605908
318	0.6060997334
319	0.6060257768
320	0.6059969178
321	0.6059552268
322	0.6059143947
323	0.6058498168
