iter	Passed	Remaining
0	77	38675
1	98	24410
2	113	18742
3	143	17736
4	169	16751
5	199	16434
6	218	15357
7	239	14734
8	253	13835
9	266	13070
10	284	12661
11	301	12279
12	315	11811
13	332	11532
14	349	11289
15	362	10975
16	385	10953
17	408	10943
18	429	10860
19	452	10866
20	474	10813
21	499	10844
22	514	10680
23	534	10610
24	552	10503
25	567	10354
26	590	10339
27	605	10203
28	620	10080
29	643	10080
30	658	9959
31	675	9873
32	699	9903
33	717	9829
34	742	9862
35	756	9754
36	771	9652
37	792	9636
38	806	9531
39	832	9572
40	847	9491
41	861	9394
42	881	9365
43	896	9291
44	905	9158
45	919	9078
46	940	9063
47	951	8961
48	979	9012
49	997	8973
50	1011	8903
51	1031	8891
52	1046	8827
53	1060	8761
54	1078	8722
55	1094	8679
56	1108	8611
57	1123	8560
58	1141	8528
59	1154	8466
60	1169	8414
61	1188	8393
62	1202	8338
63	1217	8292
64	1237	8281
65	1251	8230
66	1266	8183
67	1285	8166
68	1300	8124
69	1314	8075
70	1333	8056
71	1346	8005
72	1359	7953
73	1396	8038
74	1411	7996
75	1495	8344
76	1512	8307
77	1533	8298
78	1549	8257
79	1564	8214
80	1581	8180
81	1595	8130
82	1608	8082
83	1637	8110
84	1652	8066
85	1681	8096
86	1697	8060
87	1728	8090
88	1744	8054
89	1758	8010
90	1786	8028
91	1800	7985
92	1815	7944
93	1835	7925
94	1848	7882
95	1865	7849
96	1884	7830
97	1898	7787
98	1913	7749
99	1936	7744
100	1949	7702
101	1978	7721
102	1997	7698
103	2017	7683
104	2035	7659
105	2050	7620
106	2068	7597
107	2084	7567
108	2098	7527
109	2115	7499
110	2132	7473
111	2146	7437
112	2164	7414
113	2183	7392
114	2198	7358
115	2214	7329
116	2231	7305
117	2245	7269
118	2261	7240
119	2279	7219
120	2294	7186
121	2309	7154
122	2327	7134
123	2340	7097
124	2356	7068
125	2375	7049
126	2388	7014
127	2401	6979
128	2419	6959
129	2433	6927
130	2447	6895
131	2464	6872
132	2482	6850
133	2497	6821
134	2511	6789
135	2529	6768
136	2543	6738
137	2557	6708
138	2575	6689
139	2589	6659
140	2599	6619
141	2621	6608
142	2634	6576
