iter	Logloss
0	0.6875203583
1	0.6822494777
2	0.6773358499
3	0.6735615151
4	0.670053436
5	0.6666969249
6	0.6628892225
7	0.6602106019
8	0.6580814919
9	0.6551714633
10	0.6527775533
11	0.6506803863
12	0.6480880275
13	0.6457465591
14	0.6440490154
15	0.642295921
16	0.6407546549
17	0.6392943806
18	0.6380732115
19	0.6367612914
20	0.6356589907
21	0.6345297353
22	0.6338575129
23	0.6331601042
24	0.6322095896
25	0.6314122511
26	0.6305760574
27	0.6299884731
28	0.6293208517
29	0.6285698534
30	0.627955404
31	0.6273706535
32	0.6267403717
33	0.6262960513
34	0.6258338145
35	0.625296425
36	0.6249349208
37	0.6245040256
38	0.6240585724
39	0.6236764849
40	0.6232211081
41	0.6228502652
42	0.6225189382
43	0.622110002
44	0.6218742238
45	0.621645877
46	0.6212240054
47	0.6211574724
48	0.6208728421
49	0.6205138329
50	0.6203323328
51	0.6201084265
52	0.6198440909
53	0.6196516505
54	0.6195431291
55	0.6192375193
56	0.619042944
57	0.6189297759
58	0.6186683477
59	0.6184029643
60	0.6182151957
61	0.6179379502
62	0.6177521207
63	0.6176469402
64	0.6175240555
65	0.617327308
66	0.6171565175
67	0.6171221012
68	0.6169947696
69	0.6168599419
70	0.6167277487
71	0.6166445743
72	0.6165674054
73	0.6164946093
74	0.6164317
75	0.6163196757
76	0.6162533586
77	0.6161655894
78	0.6160730812
79	0.6159910924
80	0.615900456
81	0.6158298247
82	0.6157633723
83	0.6156453136
84	0.615555049
85	0.6153995608
86	0.6153018635
87	0.6152190798
88	0.6151411616
89	0.6149640579
90	0.6149096601
91	0.6148544522
92	0.6147272845
93	0.6146499164
94	0.6145958321
95	0.6144832068
96	0.6143932769
97	0.6143765468
98	0.6142646854
99	0.6141934878
100	0.6141623126
101	0.6140986816
102	0.6140229462
103	0.6139595905
104	0.6138541814
105	0.6137716939
106	0.6136592099
107	0.6136329598
108	0.6135777925
109	0.6135069258
110	0.6134333691
111	0.613409131
112	0.6133073887
113	0.6132195403
114	0.6131290689
115	0.6131108328
116	0.6130505168
117	0.6129854163
118	0.6129272651
119	0.6128132726
120	0.6127785151
121	0.6127101529
122	0.6126592438
123	0.6126088851
124	0.6125702442
125	0.6124684726
126	0.6124491341
127	0.6123481914
128	0.6122943791
129	0.6121916779
130	0.6121541054
131	0.6120716967
132	0.612011307
133	0.6119164761
134	0.6118865807
135	0.6118394962
136	0.611744442
137	0.6117053813
138	0.6116746431
139	0.611620976
140	0.611585147
141	0.6115357553
142	0.6115100956
143	0.6114840735
144	0.6114727615
145	0.6114104076
146	0.6113467025
147	0.6112737624
148	0.6112239274
149	0.6111809359
150	0.6111297038
151	0.6111088518
152	0.611093703
153	0.6110508719
154	0.6110260215
155	0.6109970934
156	0.6109666554
157	0.6108982873
158	0.610848455
159	0.6107896041
160	0.6107139178
161	0.6106947184
162	0.6106395333
163	0.6106149724
164	0.6105822085
165	0.6105324293
166	0.6105039902
167	0.6104352885
168	0.6103491096
169	0.6103312281
170	0.6102536651
171	0.6102310384
172	0.6101912766
173	0.6101513776
174	0.6101237814
175	0.6101005382
176	0.6100149172
177	0.6099795142
178	0.6099571695
179	0.6099005446
180	0.609882062
181	0.6098304335
182	0.6098023018
183	0.6097720892
184	0.6097247467
185	0.609714096
186	0.6096784622
187	0.6096432507
188	0.6095974527
189	0.6095758779
190	0.6095618937
191	0.6094963431
192	0.6094306904
193	0.6094002677
194	0.6093931304
195	0.6093581855
196	0.6093484027
197	0.6093259815
198	0.6092971087
199	0.6092664997
200	0.6092633507
201	0.6092469926
202	0.6091751262
203	0.609164467
204	0.6091540139
205	0.609143074
206	0.6091149079
207	0.6090864115
208	0.6090360117
209	0.6090171508
210	0.6089787114
211	0.6089078608
212	0.6088629182
213	0.6088176167
214	0.6088020382
215	0.6087690883
216	0.608719743
217	0.6086610894
218	0.608632915
219	0.6085928913
220	0.6085569783
221	0.6085406103
222	0.6085162301
223	0.6084800056
224	0.6084708329
225	0.608431906
226	0.6082996126
227	0.6082696791
228	0.6082371788
229	0.608187231
230	0.6081598692
231	0.6081435801
232	0.6081051403
233	0.6080775331
234	0.6080247023
235	0.6079892234
236	0.6079757723
237	0.6079568171
238	0.6079200315
239	0.607891673
240	0.6078289365
241	0.607757918
242	0.6077440006
243	0.6076782537
244	0.6076620658
245	0.6076334087
246	0.6075438609
247	0.6074315627
248	0.6074276306
249	0.6073595841
250	0.6073178635
251	0.6072873916
252	0.6072398231
253	0.6072128693
254	0.6071562193
255	0.6070874339
256	0.6069911666
257	0.6069475572
258	0.6068856036
259	0.6068474455
260	0.6068235013
261	0.6067811319
262	0.6067248434
263	0.6067066195
264	0.6066810877
265	0.6066147053
266	0.6065299915
267	0.6064168706
268	0.6062939285
269	0.6062512386
270	0.6061790533
271	0.6060440581
272	0.6060059903
273	0.6059528301
274	0.6058418995
275	0.6058103307
276	0.605744374
277	0.6057126533
278	0.6056558784
279	0.6055891399
280	0.6055256356
281	0.605451764
282	0.6053910447
283	0.6053231013
284	0.605249906
285	0.6051197706
286	0.6050263836
287	0.604984158
288	0.604940898
289	0.6048607052
290	0.6047561163
291	0.6046695479
292	0.6046081658
293	0.6044916537
294	0.6044489947
295	0.6043546554
296	0.6042730939
297	0.6041889072
298	0.6041393431
299	0.6040771434
300	0.6040181966
301	0.6039475866
302	0.6038972149
303	0.6037787595
304	0.6036986015
305	0.6036716121
306	0.6036154865
307	0.603561668
308	0.6034717895
309	0.6033489977
310	0.6032841022
311	0.6032455958
312	0.6031785853
313	0.6031192067
314	0.6030725323
315	0.6030352387
316	0.6029657721
317	0.602896982
318	0.6027593069
319	0.6026567829
320	0.6026036991
321	0.60253542
322	0.6024968249
323	0.6024198405
324	0.6023735003
325	0.6023347898
326	0.6022592059
327	0.6021776311
328	0.6020986976
329	0.6020174714
330	0.6019531193
331	0.6018901317
332	0.6018154806
333	0.6017187781
334	0.6016421694
335	0.6015769094
336	0.6014936588
337	0.6014655132
338	0.601416371
339	0.6013578967
340	0.6013090459
341	0.6012649961
342	0.601200489
343	0.6011864921
344	0.6011323532
345	0.6010395225
346	0.6009751337
347	0.6009356479
348	0.6008900634
349	0.6008309471
350	0.6007892925
351	0.600717393
352	0.6006507726
353	0.6005986729
354	0.6005494313
355	0.6005288607
356	0.6004855182
357	0.6004327856
358	0.6003771066
359	0.6003386568
360	0.600306243
361	0.6002681594
362	0.600199672
363	0.6001563383
364	0.6000888357
365	0.6000098344
366	0.599945543
367	0.5998979367
368	0.5998520883
369	0.5997880151
370	0.599747701
371	0.5996968576
372	0.5996215248
373	0.5995764486
374	0.5995294673
375	0.5994992844
376	0.5994638611
377	0.5994152895
378	0.5993807068
379	0.599330814
380	0.5992778299
381	0.599251548
382	0.599222988
383	0.5991607841
384	0.5991325621
385	0.599119194
386	0.5990678813
387	0.5990013435
388	0.5989315347
389	0.5988959242
390	0.5988510097
391	0.5987813448
392	0.5987346954
393	0.5986912623
394	0.5986447546
395	0.5986177256
396	0.5985587503
