iter	Passed	Remaining
0	23	11753
1	43	10808
2	64	10762
3	85	10545
4	105	10430
5	125	10345
6	146	10286
7	198	12186
8	231	12630
9	253	12443
10	280	12489
11	302	12285
12	322	12092
13	342	11894
14	380	12289
15	416	12596
16	436	12397
17	472	12651
18	492	12456
19	529	12719
20	557	12711
21	577	12556
22	597	12401
23	618	12265
24	638	12135
25	661	12054
26	682	11960
27	703	11866
28	724	11762
29	744	11664
30	764	11573
31	785	11490
32	807	11426
33	828	11352
34	848	11267
35	869	11203
36	889	11134
37	909	11055
38	928	10981
39	950	10934
40	971	10872
41	991	10811
42	1011	10753
43	1032	10698
44	1048	10600
45	1069	10552
46	1093	10537
47	1109	10448
48	1130	10402
49	1149	10347
50	1169	10296
51	1193	10286
52	1224	10326
53	1243	10274
54	1266	10250
55	1287	10204
56	1306	10156
57	1326	10111
58	1346	10067
59	1367	10025
60	1388	9993
61	1408	9951
62	1430	9924
63	1453	9904
64	1476	9878
65	1496	9838
66	1515	9796
67	1535	9752
68	1556	9719
69	1577	9688
70	1598	9660
71	1619	9625
72	1638	9587
73	1658	9544
74	1684	9546
75	1708	9530
76	1729	9500
77	1749	9463
78	1769	9430
79	1795	9427
80	1816	9396
81	1837	9364
82	1857	9332
83	1877	9296
84	1900	9281
85	1921	9250
86	1956	9285
87	1976	9253
88	1998	9230
89	2021	9209
90	2041	9175
91	2065	9161
92	2088	9140
93	2118	9148
94	2146	9150
95	2175	9156
96	2201	9147
97	2227	9137
98	2248	9107
99	2268	9074
100	2293	9059
101	2315	9035
102	2336	9004
103	2359	8982
104	2380	8954
105	2401	8926
106	2423	8901
107	2450	8894
108	2477	8888
109	2508	8892
110	2529	8865
111	2555	8853
112	2578	8831
113	2603	8815
114	2630	8806
115	2651	8776
116	2672	8749
117	2695	8725
118	2716	8697
119	2737	8668
120	2758	8640
121	2779	8612
122	2800	8584
123	2821	8554
124	2841	8525
125	2863	8500
126	2884	8472
127	2904	8441
128	2928	8422
129	2949	8395
130	2971	8369
131	2991	8340
132	3012	8313
133	3033	8286
134	3051	8251
135	3074	8228
136	3095	8202
137	3118	8179
138	3138	8151
139	3159	8124
140	3179	8094
141	3199	8067
142	3219	8037
143	3240	8010
144	3261	7984
145	3282	7958
146	3304	7934
147	3324	7907
148	3345	7881
149	3366	7854
150	3380	7814
151	3400	7785
152	3424	7766
153	3447	7745
154	3467	7718
155	3487	7689
156	3508	7664
157	3528	7637
158	3549	7612
159	3571	7589
160	3591	7562
161	3612	7537
162	3633	7511
163	3653	7485
164	3677	7466
165	3698	7441
166	3719	7417
167	3747	7406
168	3767	7379
169	3788	7354
170	3809	7328
171	3830	7304
172	3852	7282
173	3874	7258
174	3894	7232
175	3914	7206
176	3938	7187
177	3964	7171
178	3985	7147
179	4006	7122
180	4027	7098
181	4049	7075
182	4071	7052
183	4092	7029
184	4115	7007
185	4135	6982
186	4157	6958
187	4180	6938
188	4206	6921
189	4226	6896
190	4248	6873
191	4268	6847
192	4289	6822
193	4304	6789
194	4324	6764
195	4345	6739
196	4365	6714
197	4384	6688
198	4405	6663
199	4426	6639
200	4446	6614
201	4466	6589
202	4486	6564
203	4507	6540
204	4527	6515
205	4551	6495
206	4574	6475
207	4596	6452
208	4618	6430
209	4639	6407
210	4672	6400
211	4696	6380
212	4719	6359
213	4740	6334
214	4761	6311
215	4781	6286
216	4801	6261
217	4821	6236
218	4853	6227
219	4873	6203
220	4892	6176
221	4913	6152
222	4936	6131
223	4959	6111
224	4980	6086
225	5000	6062
226	5020	6038
227	5041	6014
228	5062	5990
229	5083	5967
230	5104	5943
231	5125	5921
232	5146	5897
233	5165	5871
234	5186	5848
235	5207	5825
236	5222	5794
237	5243	5772
238	5264	5748
239	5284	5725
240	5304	5700
241	5324	5676
242	5344	5652
243	5364	5628
244	5384	5604
245	5405	5580
246	5429	5560
247	5449	5537
248	5470	5514
249	5491	5491
250	5510	5466
251	5531	5443
252	5552	5420
253	5575	5399
254	5599	5380
255	5622	5358
256	5650	5342
257	5673	5321
258	5714	5316
259	5745	5303
260	5771	5284
261	5796	5265
262	5822	5247
263	5851	5230
264	5869	5204
265	5892	5183
266	5912	5159
267	5933	5136
268	5952	5111
269	5969	5085
270	5991	5062
271	6008	5036
272	6029	5013
273	6050	4990
274	6070	4966
275	6093	4945
276	6114	4922
277	6137	4900
278	6155	4876
279	6176	4852
280	6197	4830
281	6216	4805
282	6239	4784
283	6258	4760
284	6294	4748
285	6338	4743
286	6364	4723
287	6409	4717
288	6453	4711
289	6490	4699
290	6510	4675
291	6550	4666
292	6591	4657
293	6634	4648
294	6682	4643
295	6707	4622
296	6741	4608
297	6763	4584
298	6798	4570
299	6837	4558
300	6881	4549
301	6931	4544
302	6983	4540
303	7044	4541
304	7108	4544
305	7190	4558
306	7237	4549
307	7281	4539
308	7311	4519
309	7382	4524
310	7436	4519
311	7478	4506
312	7508	4485
313	7578	4489
314	7607	4468
315	7688	4477
316	7741	4469
317	7789	4458
318	7842	4449
319	7884	4435
320	7929	4421
321	7956	4398
322	8001	4384
323	8045	4370
324	8090	4356
325	8137	4343
326	8183	4329
327	8204	4302
328	8243	4284
329	8281	4266
330	8308	4242
331	8348	4224
332	8391	4208
333	8438	4194
334	8483	4178
335	8525	4161
336	8548	4134
337	8587	4115
338	8625	4096
339	8657	4073
340	8698	4055
341	8737	4036
342	8776	4017
343	8805	3993
344	8844	3973
345	8886	3955
346	8926	3936
347	8954	3911
348	8998	3893
349	9043	3875
350	9082	3855
351	9140	3842
352	9176	3821
353	9196	3792
354	9232	3770
355	9249	3741
356	9286	3719
357	9311	3693
358	9351	3672
359	9388	3650
360	9437	3633
361	9476	3612
362	9498	3584
363	9537	3563
364	9576	3541
365	9597	3513
366	9636	3492
367	9674	3470
368	9695	3441
369	9732	3419
370	9758	3393
371	9790	3368
372	9826	3345
373	9846	3317
374	9881	3293
375	9908	3267
376	9936	3241
377	9972	3218
378	9991	3189
379	10026	3166
380	10049	3138
