iter	Passed	Remaining
0	38	19311
1	58	14657
2	97	16092
3	134	16678
4	187	18599
5	233	19218
6	253	17872
7	289	17800
8	310	16923
9	348	17053
10	385	17116
11	404	16446
12	440	16509
13	477	16592
14	499	16158
15	536	16233
16	556	15809
17	592	15867
18	628	15913
19	649	15596
20	686	15653
21	707	15366
22	746	15472
23	785	15572
24	807	15345
25	846	15428
26	883	15478
27	904	15240
28	943	15319
29	980	15354
30	1001	15151
31	1039	15204
32	1077	15251
33	1098	15054
34	1134	15075
35	1154	14886
36	1191	14905
37	1230	14961
38	1288	15236
39	1342	15444
40	1379	15447
41	1400	15268
42	1438	15287
43	1474	15282
44	1496	15130
45	1538	15180
46	1574	15178
47	1591	14983
48	1627	14979
49	1647	14824
50	1683	14824
51	1703	14676
52	1739	14671
53	1776	14674
54	1799	14557
55	1837	14566
56	1871	14543
57	1892	14421
58	1930	14426
59	1952	14319
60	1990	14326
61	2027	14326
62	2048	14210
63	2085	14205
64	2121	14195
65	2141	14079
66	2177	14069
67	2196	13953
68	2232	13945
69	2251	13833
70	2292	13854
71	2331	13860
72	2369	13859
73	2389	13754
74	2426	13748
75	2447	13652
76	2484	13648
77	2521	13641
78	2541	13546
79	2579	13543
80	2596	13433
81	2630	13407
82	2649	13312
83	2679	13269
84	2699	13182
85	2730	13145
86	2751	13062
87	2782	13026
88	2812	12989
89	2835	12918
90	2863	12869
91	2884	12792
92	2913	12749
93	2933	12670
94	2965	12641
95	2986	12567
96	3016	12533
97	3038	12463
98	3068	12430
99	3089	12356
100	3118	12318
101	3137	12242
102	3170	12218
103	3190	12148
104	3221	12120
105	3242	12052
106	3276	12033
107	3302	11986
108	3329	11942
109	3472	12312
110	3493	12244
111	3524	12208
112	3545	12143
113	3572	12095
114	3592	12027
115	3621	11987
116	3641	11920
117	3669	11878
118	3689	11811
119	3725	11796
120	3749	11744
121	3780	11714
122	3810	11679
123	3830	11616
124	3855	11566
125	3875	11503
126	3895	11442
127	3921	11397
128	3941	11334
129	3969	11297
130	3991	11242
131	4020	11208
132	4042	11153
133	4071	11121
134	4088	11055
135	4118	11022
136	4138	10966
137	4164	10925
138	4185	10869
139	4207	10819
140	4224	10754
141	4245	10703
142	4269	10658
143	4289	10605
144	4314	10562
145	4334	10509
146	4358	10465
147	4378	10413
148	4400	10366
149	4422	10320
150	4437	10256
151	4461	10214
152	4480	10160
153	4508	10130
154	4528	10078
155	4558	10051
156	4579	10003
157	4602	9962
158	4623	9916
159	4646	9874
160	4668	9829
161	4688	9782
162	4712	9743
163	4732	9696
164	4755	9654
165	4775	9609
166	4800	9571
167	4821	9528
168	4841	9483
169	4863	9441
170	4884	9398
171	4910	9363
172	4930	9319
173	4955	9285
174	4976	9242
175	5004	9213
176	5028	9176
177	5056	9147
178	5078	9106
179	5102	9071
180	5122	9028
181	5144	8988
182	5166	8949
183	5186	8906
184	5210	8872
185	5231	8831
186	5255	8796
187	5277	8758
188	5304	8728
189	5326	8689
190	5351	8657
191	5372	8617
192	5393	8579
193	5410	8533
194	5429	8492
195	5451	8455
196	5471	8415
197	5495	8382
198	5518	8346
199	5540	8310
200	5563	8276
201	5584	8237
202	5607	8204
203	5627	8165
204	5651	8132
205	5671	8094
206	5695	8061
207	5716	8024
208	5736	7987
209	5760	7955
210	5784	7922
211	5810	7893
212	5834	7862
213	5859	7830
214	5879	7793
215	5903	7762
216	5923	7724
217	5947	7693
218	5969	7659
219	5994	7628
220	6016	7595
221	6039	7563
222	6064	7532
223	6086	7499
224	6109	7466
