iter	Logloss
0	0.6874350982
1	0.6822329552
2	0.6773590341
3	0.6735625728
4	0.669994253
5	0.6666484947
6	0.6628511214
7	0.6602532971
8	0.6571044556
9	0.654301286
10	0.6519651372
11	0.6500312578
12	0.6473961264
13	0.6450947223
14	0.6434220236
15	0.6417546347
16	0.640341544
17	0.6389224496
18	0.6376936486
19	0.6363432847
20	0.6353136284
21	0.6341966552
22	0.6335262878
23	0.6328113867
24	0.6318453668
25	0.6312649032
26	0.6304339973
27	0.6298202702
28	0.6291402249
29	0.6284130346
30	0.6278053421
31	0.6271794604
32	0.6265887219
33	0.6261971111
34	0.6257056702
35	0.625153191
36	0.6247730036
37	0.624353488
38	0.6238975015
39	0.6234335815
40	0.6230002333
41	0.62263543
42	0.6223781021
43	0.6221313679
44	0.6219729538
45	0.6217650485
46	0.6214979617
47	0.6213647115
48	0.6210618567
49	0.6206568195
50	0.620477811
51	0.6202343462
52	0.6199927907
53	0.6197434335
54	0.6196132252
55	0.6193299199
56	0.6191374073
57	0.619065816
58	0.6188724133
59	0.6186030456
60	0.6184148538
61	0.6181300617
62	0.6179692886
63	0.6178668256
64	0.6177276132
65	0.6175179042
66	0.617350979
67	0.6171602936
68	0.6170538892
69	0.6168436861
70	0.61674139
71	0.6165136482
72	0.6163372384
73	0.6162240129
74	0.616002653
75	0.6158313171
76	0.6157581239
77	0.6156920718
78	0.6155993583
79	0.6153821889
80	0.6153268908
81	0.6151901851
82	0.6151113764
83	0.6150559728
84	0.6148947641
85	0.6148082884
86	0.6147292736
87	0.6145957207
88	0.6144444212
89	0.6143475342
90	0.6142513374
91	0.6140978293
92	0.6140507604
93	0.6139852977
94	0.6138610508
95	0.6137742408
96	0.6137232939
97	0.6136277864
98	0.6135682233
99	0.6135357613
100	0.6134885064
101	0.6134269475
102	0.6133691784
103	0.6132339274
104	0.6131375422
105	0.6130472458
106	0.6130186117
107	0.6129677049
108	0.6129191992
109	0.6128530194
110	0.6128271629
111	0.6127531096
112	0.6126781511
113	0.6126434284
114	0.6126332743
115	0.6125617601
116	0.6125011919
117	0.61245715
118	0.6123466094
119	0.6122987044
120	0.6122274871
121	0.6121349469
122	0.6120869568
123	0.6120522484
124	0.6119741873
125	0.6119470321
126	0.6118395384
127	0.6117989931
128	0.6117205569
129	0.6116920812
130	0.6116260402
131	0.6115996573
132	0.6114994932
133	0.6114697783
134	0.6114393083
135	0.6113524268
136	0.6112888521
137	0.6112450425
138	0.6111999697
139	0.6111573173
140	0.6111516339
141	0.6111181405
142	0.6110588076
143	0.6109976597
144	0.6109044784
145	0.6108743879
146	0.6108418607
147	0.6107909562
148	0.6107304723
149	0.6106934053
150	0.610670528
151	0.6106614273
152	0.6106324065
153	0.6106234746
154	0.6106103861
155	0.6105472722
156	0.6105067144
157	0.6104444122
158	0.6103959023
159	0.6103363462
160	0.6103057989
161	0.6102582902
162	0.6102296531
163	0.6101832368
164	0.6101357873
165	0.6100835894
166	0.6100498508
167	0.6099952048
168	0.609928908
169	0.6098948858
170	0.6098668035
171	0.6098155643
172	0.6097945113
173	0.6097737894
174	0.6097430113
175	0.6096950336
176	0.6096512052
177	0.6096263022
178	0.6095948739
179	0.6095560545
180	0.6095384948
181	0.6095229937
182	0.6094830688
183	0.6094553888
184	0.6094355458
185	0.6093793041
186	0.6093113362
187	0.6092090521
188	0.6091597843
189	0.6091477775
190	0.609110818
191	0.6090914884
192	0.609076939
193	0.6090525485
194	0.6090256083
195	0.60900695
196	0.608997852
197	0.6089617241
198	0.6089041989
199	0.6088560071
200	0.6087669636
201	0.608712525
202	0.6086950022
203	0.6086432921
204	0.6085972557
205	0.6085831237
206	0.6085537995
207	0.6085222139
208	0.6084831183
209	0.6084678928
210	0.6084452632
211	0.6084140522
212	0.6083814783
213	0.6083150906
214	0.6082915149
215	0.6082636005
