iter	Passed	Remaining
0	22	11153
1	43	10926
2	74	12386
3	95	11828
4	116	11493
5	137	11300
6	163	11533
7	185	11427
8	207	11305
9	227	11149
10	248	11054
11	268	10905
12	288	10808
13	309	10747
14	330	10696
15	351	10631
16	371	10560
17	392	10501
18	412	10437
19	434	10420
20	455	10378
21	476	10350
22	497	10316
23	519	10304
24	541	10294
25	563	10269
26	585	10259
27	606	10228
28	628	10214
29	650	10188
30	671	10160
31	692	10130
32	716	10138
33	737	10113
34	759	10092
35	781	10071
36	804	10070
37	826	10044
38	846	10003
39	868	9993
40	889	9962
41	910	9924
42	930	9889
43	950	9850
44	967	9783
45	989	9768
46	1012	9755
47	1029	9692
48	1056	9723
49	1076	9690
50	1096	9651
51	1118	9633
52	1147	9678
53	1179	9741
54	1222	9888
55	1275	10113
56	1301	10118
57	1322	10077
58	1351	10101
59	1371	10056
60	1392	10022
61	1413	9985
62	1434	9948
63	1454	9909
64	1476	9883
65	1499	9862
66	1520	9829
67	1540	9789
68	1561	9756
69	1583	9727
70	1603	9690
71	1624	9657
72	1645	9627
73	1666	9592
74	1687	9564
75	1709	9536
76	1729	9503
77	1752	9480
78	1772	9448
79	1803	9466
80	1822	9425
81	1927	9826
82	2078	10440
83	2148	10642
84	2171	10601
85	2208	10629
86	2227	10572
87	2263	10598
88	2301	10630
89	2323	10586
90	2361	10612
91	2399	10639
92	2418	10586
93	2456	10608
94	2478	10566
95	2505	10545
96	2525	10493
97	2547	10451
98	2568	10404
99	2588	10355
100	2609	10307
101	2629	10261
102	2650	10217
103	2672	10176
104	2695	10140
105	2715	10094
106	2747	10089
107	2768	10048
108	2789	10005
109	2812	9972
110	2836	9939
111	2858	9901
112	2878	9859
113	2900	9819
114	2920	9777
115	2940	9735
116	2961	9695
117	2984	9661
118	3018	9663
119	3046	9647
120	3069	9614
121	3090	9576
122	3111	9537
123	3132	9498
124	3153	9459
125	3173	9418
126	3194	9381
127	3214	9341
128	3234	9303
129	3255	9264
130	3276	9228
131	3296	9191
132	3317	9155
133	3338	9118
134	3356	9075
135	3376	9038
136	3398	9004
137	3418	8967
138	3439	8931
139	3460	8898
140	3471	8839
141	3493	8807
142	3515	8775
143	3536	8742
144	3558	8711
145	3578	8676
146	3598	8641
147	3619	8609
148	3640	8576
149	3661	8542
150	3681	8510
151	3702	8476
152	3723	8444
153	3744	8412
154	3764	8379
155	3785	8347
156	3809	8322
157	3833	8297
158	3854	8266
159	3876	8237
160	3897	8206
161	3918	8176
162	3940	8147
163	3961	8116
164	3982	8084
165	4003	8055
166	4027	8031
167	4048	8001
168	4070	7972
169	4091	7941
170	4111	7910
171	4132	7880
172	4152	7849
173	4173	7818
174	4194	7789
175	4215	7760
176	4237	7732
177	4257	7702
178	4278	7672
179	4299	7642
180	4319	7613
181	4335	7575
182	4356	7546
183	4377	7517
184	4397	7487
185	4418	7459
186	4439	7431
187	4461	7404
188	4484	7378
189	4505	7351
190	4526	7323
191	4547	7294
192	4568	7267
193	4588	7238
194	4608	7208
195	4629	7179
196	4640	7136
197	4660	7108
198	4690	7094
199	4711	7066
200	4732	7039
201	4753	7012
202	4774	6984
203	4794	6957
204	4817	6932
205	4839	6907
206	4860	6879
207	4880	6851
208	4902	6825
209	4923	6799
210	4949	6778
211	4972	6754
212	4993	6727
213	5013	6700
214	5039	6680
215	5059	6651
216	5081	6627
217	5100	6597
218	5123	6574
219	5143	6546
220	5164	6520
221	5185	6493
222	5208	6469
223	5232	6446
224	5255	6422
225	5279	6400
226	5300	6374
227	5321	6348
228	5342	6322
229	5365	6298
230	5386	6273
231	5409	6248
232	5430	6223
233	5452	6198
234	5473	6172
235	5495	6147
236	5517	6122
237	5538	6097
238	5560	6072
239	5581	6046
240	5603	6021
241	5624	5996
242	5645	5971
243	5669	5948
244	5690	5922
245	5711	5896
246	5737	5876
247	5759	5852
248	5782	5829
249	5803	5803
250	5828	5782
251	5850	5757
252	5871	5732
253	5892	5706
254	5917	5685
255	5939	5661
256	5962	5637
257	5986	5615
258	6008	5590
259	6032	5568
260	6053	5543
261	6074	5518
262	6094	5492
263	6118	5469
264	6140	5445
265	6162	5420
266	6183	5395
267	6204	5371
268	6227	5347
269	6248	5322
270	6271	5299
271	6292	5274
272	6315	5251
273	6336	5226
274	6356	5200
275	6378	5176
276	6398	5150
277	6419	5126
278	6441	5102
279	6464	5079
280	6488	5057
281	6513	5035
282	6535	5011
283	6557	4987
284	6579	4963
285	6599	4937
286	6620	4913
287	6642	4889
288	6665	4866
289	6686	4842
290	6711	4820
291	6732	4796
292	6755	4772
293	6776	4748
294	6799	4724
295	6825	4703
296	6847	4679
297	6870	4656
298	6891	4632
299	6913	4608
300	6935	4585
301	6950	4557
302	6972	4533
303	6996	4510
304	7023	4490
305	7044	4466
306	7073	4447
307	7094	4422
308	7118	4400
309	7143	4378
310	7168	4356
311	7191	4333
312	7213	4309
313	7236	4286
314	7257	4262
315	7279	4238
316	7300	4214
317	7322	4190
318	7344	4166
319	7365	4143
320	7387	4119
321	7411	4096
322	7434	4074
323	7461	4052
324	7483	4029
325	7506	4006
326	7533	3985
327	7553	3960
328	7580	3940
329	7604	3917
330	7628	3894
331	7649	3870
332	7672	3847
333	7693	3823
334	7716	3800
335	7738	3776
336	7759	3753
337	7780	3729
338	7804	3706
339	7824	3682
340	7848	3659
341	7869	3635
342	7890	3611
343	7910	3587
344	7930	3563
345	7952	3539
346	7976	3516
347	7997	3493
348	8019	3469
349	8042	3446
350	8065	3423
351	8087	3400
352	8109	3376
353	8129	3352
354	8151	3329
355	8173	3306
356	8195	3282
357	8215	3258
358	8238	3235
359	8263	3213
360	8286	3190
361	8308	3167
362	8330	3144
363	8355	3121
364	8378	3098
365	8401	3075
366	8422	3052
367	8445	3029
368	8467	3006
369	8489	2982
370	8511	2959
371	8532	2935
372	8554	2912
373	8576	2889
374	8600	2866
375	8621	2843
376	8650	2822
377	8672	2799
378	8694	2775
379	8715	2752
380	8738	2729
381	8759	2705
382	8780	2682
383	8803	2659
384	8827	2636
385	8850	2613
386	8878	2592
387	8902	2569
388	8923	2546
389	8948	2523
390	8970	2500
391	8993	2477
392	9018	2455
393	9041	2432
394	9065	2409
395	9086	2386
396	9106	2362
397	9129	2339
398	9149	2316
399	9170	2292
400	9193	2269
401	9214	2246
402	9235	2222
403	9257	2199
404	9277	2176
405	9299	2153
406	9320	2129
407	9345	2107
